,states,actions,cnn_likelihood
0,"{'time_stamp': 0.0, 'cart_position': 0.036084512074637504, 'cart_velocity': -0.01696564265758408, 'pole_angle': -0.0475885038146804, 'pole_angular_velocity': -0.005435275259963068}",{'action': 'right'},0.0
1,"{'time_stamp': 0.02, 'cart_position': 0.03574519922148582, 'cart_velocity': 0.1711947251396491, 'pole_angle': -0.047697209319879655, 'pole_angular_velocity': -0.14512153639955364}",{'action': 'left'},0.0
2,"{'time_stamp': 0.04, 'cart_position': 0.039169093724278806, 'cart_velocity': -0.016346409469243567, 'pole_angle': -0.05059964004787073, 'pole_angular_velocity': -0.019093326289368884}",{'action': 'left'},1.0
3,"{'time_stamp': 0.06, 'cart_position': 0.03884216553489393, 'cart_velocity': -0.20386595125241472, 'pole_angle': -0.05098150657365811, 'pole_angular_velocity': 0.10649696576303419}",{'action': 'left'},1.0
4,"{'time_stamp': 0.08, 'cart_position': 0.03476484650984564, 'cart_velocity': -0.39138329226087576, 'pole_angle': -0.04885156725839743, 'pole_angular_velocity': 0.23203001073389143}",{'action': 'left'},1.0
5,"{'time_stamp': 0.1, 'cart_position': 0.026937180664628125, 'cart_velocity': -0.5789177449246603, 'pole_angle': -0.0442109670437196, 'pole_angular_velocity': 0.35788553462192185}",{'action': 'left'},1.0
6,"{'time_stamp': 0.12, 'cart_position': 0.015358825766134919, 'cart_velocity': -0.7664879489839707, 'pole_angle': -0.037053256351281164, 'pole_angular_velocity': 0.48444047078859404}",{'action': 'left'},1.0
7,"{'time_stamp': 0.14, 'cart_position': 2.906678645550609e-05, 'cart_velocity': -0.9541112604090419, 'pole_angle': -0.027364446935509282, 'pole_angular_velocity': 0.6120670489015669}",{'action': 'right'},1.0
8,"{'time_stamp': 0.16, 'cart_position': -0.019053158421725332, 'cart_velocity': -0.7660821108889688, 'pole_angle': -0.015123105957477942, 'pole_angular_velocity': 0.4751695042122232}",{'action': 'right'},1.0
9,"{'time_stamp': 0.18, 'cart_position': -0.03437480063950471, 'cart_velocity': -0.5781228839897126, 'pole_angle': -0.005619715873233478, 'pole_angular_velocity': 0.339982764429837}",{'action': 'right'},1.0
10,"{'time_stamp': 0.2, 'cart_position': -0.045937258319298964, 'cart_velocity': -0.3902217161556178, 'pole_angle': 0.0011799394153632625, 'pole_angular_velocity': 0.20614196726091863}",{'action': 'right'},1.0
11,"{'time_stamp': 0.22, 'cart_position': -0.05374169264241132, 'cart_velocity': -0.20236402020086955, 'pole_angle': 0.005302778760581635, 'pole_angular_velocity': 0.07327356658171447}",{'action': 'right'},1.0
12,"{'time_stamp': 0.24, 'cart_position': -0.05778897304642871, 'cart_velocity': -0.014533393497365849, 'pole_angle': 0.006768250092215924, 'pole_angular_velocity': -0.059001511231695225}",{'action': 'right'},1.0
13,"{'time_stamp': 0.26, 'cart_position': -0.058079640916376025, 'cart_velocity': 0.17328756139078835, 'pole_angle': 0.005588219867582019, 'pole_angular_velocity': -0.19106507239708537}",{'action': 'right'},1.0
14,"{'time_stamp': 0.28, 'cart_position': -0.054613889688560256, 'cart_velocity': 0.3611164721766864, 'pole_angle': 0.0017669184196403118, 'pole_angular_velocity': -0.3232990943623784}",{'action': 'right'},1.0
15,"{'time_stamp': 0.3, 'cart_position': -0.047391560245026526, 'cart_velocity': 0.5489704568766666, 'pole_angle': -0.004699063467607257, 'pole_angular_velocity': -0.4560832713922578}",{'action': 'right'},1.0
16,"{'time_stamp': 0.32, 'cart_position': -0.0364121511074932, 'cart_velocity': 0.7368653771306047, 'pole_angle': -0.013820728895452413, 'pole_angular_velocity': -0.5897925423617867}",{'action': 'right'},1.0
17,"{'time_stamp': 0.34, 'cart_position': -0.021674843564881103, 'cart_velocity': 0.9248150540912262, 'pole_angle': -0.025616579742688148, 'pole_angular_velocity': -0.7247944780211852}",{'action': 'left'},1.0
18,"{'time_stamp': 0.36, 'cart_position': -0.003178542483056577, 'cart_velocity': 0.7371082323704835, 'pole_angle': -0.04011246930311185, 'pole_angular_velocity': -0.5954710830903794}",{'action': 'left'},1.0
19,"{'time_stamp': 0.38, 'cart_position': 0.011563622164353093, 'cart_velocity': 0.5495011376229465, 'pole_angle': -0.052021890964919444, 'pole_angular_velocity': -0.4682970902071192}",{'action': 'left'},1.0
20,"{'time_stamp': 0.4, 'cart_position': 0.022553644916812023, 'cart_velocity': 0.3619810651531117, 'pole_angle': -0.06138783276906183, 'pole_angular_velocity': -0.3429139407187506}",{'action': 'left'},1.0
21,"{'time_stamp': 0.42, 'cart_position': 0.029793266219874256, 'cart_velocity': 0.17453242189359383, 'pole_angle': -0.06824611158343684, 'pole_angular_velocity': -0.2189545752313289}",{'action': 'left'},1.0
22,"{'time_stamp': 0.44, 'cart_position': 0.03328391465774613, 'cart_velocity': -0.012862474673215912, 'pole_angle': -0.07262520308806342, 'pole_angular_velocity': -0.0960461219228136}",{'action': 'left'},1.0
23,"{'time_stamp': 0.46, 'cart_position': 0.033026665164281814, 'cart_velocity': -0.20022270929178587, 'pole_angle': -0.0745461255265197, 'pole_angular_velocity': 0.026187867362650344}",{'action': 'left'},1.0
24,"{'time_stamp': 0.48, 'cart_position': 0.029022210978446095, 'cart_velocity': -0.38756816456356846, 'pole_angle': -0.07402236817926669, 'pole_angular_velocity': 0.14812551630342163}",{'action': 'left'},1.0
25,"{'time_stamp': 0.5, 'cart_position': 0.021270847687174726, 'cart_velocity': -0.5749189710916629, 'pole_angle': -0.07105985785319825, 'pole_angular_velocity': 0.2701449454189875}",{'action': 'right'},1.0
26,"{'time_stamp': 0.52, 'cart_position': 0.009772468265341467, 'cart_velocity': -0.3866296895925333, 'pole_angle': -0.0656569589448185, 'pole_angular_velocity': 0.12731666894264201}",{'action': 'right'},0.0
27,"{'time_stamp': 0.54, 'cart_position': 0.002039874473490801, 'cart_velocity': -0.19836662121115192, 'pole_angle': -0.06311062556596567, 'pole_angular_velocity': -0.014798312715895406}",{'action': 'right'},1.0
28,"{'time_stamp': 0.56, 'cart_position': -0.0019274579507322373, 'cart_velocity': -0.010116892996553162, 'pole_angle': -0.06340659182028358, 'pole_angular_velocity': -0.15657486048991978}",{'action': 'left'},1.0
29,"{'time_stamp': 0.58, 'cart_position': -0.0021297958106633007, 'cart_velocity': -0.19754554351175302, 'pole_angle': -0.06653808903008197, 'pole_angular_velocity': -0.03292714432977399}",{'action': 'left'},1.0
30,"{'time_stamp': 0.6, 'cart_position': -0.006080706680898361, 'cart_velocity': -0.3849499482143378, 'pole_angle': -0.06719663191667745, 'pole_angular_velocity': 0.0902408687426009}",{'action': 'left'},1.0
31,"{'time_stamp': 0.62, 'cart_position': -0.013779705645185117, 'cart_velocity': -0.5723499788595432, 'pole_angle': -0.06539181454182542, 'pole_angular_velocity': 0.213308351113282}",{'action': 'left'},1.0
32,"{'time_stamp': 0.64, 'cart_position': -0.02522670522237598, 'cart_velocity': -0.7597654866048282, 'pole_angle': -0.06112564751955978, 'pole_angular_velocity': 0.33665368063549084}",{'action': 'left'},1.0
33,"{'time_stamp': 0.66, 'cart_position': -0.04042201495447255, 'cart_velocity': -0.9472157596430557, 'pole_angle': -0.05439257390684996, 'pole_angular_velocity': 0.46065279899069905}",{'action': 'left'},1.0
34,"{'time_stamp': 0.68, 'cart_position': -0.05936633014733367, 'cart_velocity': -1.1347189664937019, 'pole_angle': -0.04517951792703598, 'pole_angular_velocity': 0.5856775208253786}",{'action': 'left'},1.0
35,"{'time_stamp': 0.7000000000000001, 'cart_position': -0.0820607094772077, 'cart_velocity': -1.3222915579012864, 'pole_angle': -0.033465967510528404, 'pole_angular_velocity': 0.7120936870136299}",{'action': 'left'},1.0
