episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
7,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
8,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
9,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
10,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
11,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",0.915,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
12,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
13,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
14,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
15,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
16,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
17,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
18,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
19,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
20,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
21,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
22,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
23,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
24,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",1.0,1,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
0,0.0,0.999999,0,{},1.0,2,length_1_gravity_7,unknown,non-novelty-performance,1,"{'length': 1, 'gravity': 7}"
1,0.0,0.999999,0,{},1.0,2,length_1_gravity_7,unknown,non-novelty-performance,1,"{'length': 1, 'gravity': 7}"
2,0.0,0.999999,0,{},1.0,2,length_1_gravity_7,unknown,non-novelty-performance,1,"{'length': 1, 'gravity': 7}"
3,0.0,0.999999,0,{},1.0,2,length_1_gravity_7,unknown,non-novelty-performance,1,"{'length': 1, 'gravity': 7}"
4,0.0,0.999999,0,{},1.0,2,length_1_gravity_7,unknown,non-novelty-performance,1,"{'length': 1, 'gravity': 7}"
5,1.0,0.999999,0,"{""m_cart"": 0, ""l_pole"": 0.30000000000000004, ""m_pole"": 0, ""force_mag"": 0, ""gravity"": 0, ""angle_limit"": 0, ""x_limit"": 0}",0.75,2,length_1_gravity_7,unknown,novelty,1,"{'length': 1, 'gravity': 7}"
