episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
1,0.0,0.999999,0,{},0.88,0,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
2,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
3,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
4,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
5,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
6,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
7,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
8,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
9,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
10,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
11,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
12,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
13,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
14,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
15,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
16,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
17,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
18,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
19,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
20,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
21,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
22,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
23,0.0,0.999999,0,{},1.0,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
24,0.0,0.999999,0,{},0.995,0,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
0,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
1,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
2,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
3,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
4,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,non-novelty-performance,1,{'masscart': 2.0}
5,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
6,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
7,0.0,0.999999,0,{},1.0,1,masscart_20_3,unknown,novelty,1,{'masscart': 2.0}
