episode_num,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,trial_num,novelty_id,trial_type,episode_type,level,env_config
0,0.0,0.999999,0,{},1.0,2,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
1,0.0,0.999999,0,{},1.0,2,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
2,0.0,0.999999,0,{},1.0,2,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
3,0.0,0.999999,0,{},1.0,2,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
4,0.0,0.999999,0,{},1.0,2,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
5,0.0,0.999999,0,{},0.22,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
6,0.0,0.999999,0,{},0.365,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
7,0.0,0.999999,0,{},0.36,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
8,0.0,0.999999,0,{},0.26,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
9,0.0,0.999999,0,{},0.48,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
10,0.0,0.999999,0,{},0.365,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
11,0.0,0.999999,0,{},0.265,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
12,0.0,0.999999,0,{},0.64,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
13,0.0,0.999999,0,{},0.22,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
14,0.0,0.999999,0,{},0.24,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
15,0.0,0.999999,0,{},0.35,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
16,0.0,0.999999,0,{},0.235,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
17,0.0,0.999999,0,{},0.355,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
18,0.0,0.999999,0,{},0.37,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
19,0.0,0.999999,0,{},0.22,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
20,0.0,0.999999,0,{},0.275,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
21,0.0,0.999999,0,{},0.27,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
22,0.0,0.999999,0,{},0.345,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
23,0.0,0.999999,0,{},0.465,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
24,0.0,0.999999,0,{},0.37,2,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
0,0.0,0.999999,0,{},1.0,3,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
1,0.0,0.999999,0,{},1.0,3,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
2,0.0,0.999999,0,{},1.0,3,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
3,0.0,0.999999,0,{},1.0,3,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
4,0.0,0.999999,0,{},1.0,3,force_mag_5_8,unknown,non-novelty-performance,1,{'force_mag': 5.0}
5,0.0,0.999999,0,{},0.35,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
6,0.0,0.999999,0,{},0.36,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
7,0.0,0.999999,0,{},0.215,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
8,0.0,0.999999,0,{},0.38,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
9,0.0,0.999999,0,{},0.35,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
10,0.0,0.999999,0,{},0.24,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
11,0.0,0.999999,0,{},0.345,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
12,0.0,0.999999,0,{},0.26,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
13,0.0,0.999999,0,{},0.345,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
14,0.0,0.999999,0,{},0.25,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
15,0.0,0.999999,0,{},0.35,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
16,0.0,0.999999,0,{},0.265,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
17,0.0,0.999999,0,{},0.25,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
18,0.0,0.999999,0,{},0.36,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
19,0.0,0.999999,0,{},0.355,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
20,0.0,0.999999,0,{},0.27,3,force_mag_5_8,unknown,novelty,1,{'force_mag': 5.0}
